MatchId,BotType,Result,TimeMs,TotalClicks
0,Bot0,DEFEAT,2.18490,5
1,Bot0,DEFEAT,0.06790,2
2,Bot0,DEFEAT,0.06950,2
3,Bot0,DEFEAT,0.07070,3
4,Bot0,DEFEAT,0.06270,3
5,Bot0,DEFEAT,0.11110,9
6,Bot0,DEFEAT,0.01670,1
7,Bot0,DEFEAT,0.07720,5
8,Bot0,DEFEAT,0.08670,4
9,Bot0,DEFEAT,0.07140,2
10,Bot0,DEFEAT,0.03530,3
11,Bot0,DEFEAT,0.06290,4
12,Bot0,DEFEAT,0.07420,4
13,Bot0,DEFEAT,0.24730,8
14,Bot0,DEFEAT,0.05590,4
15,Bot0,DEFEAT,0.10770,9
16,Bot0,DEFEAT,0.06020,3
17,Bot0,DEFEAT,0.06600,3
18,Bot0,DEFEAT,0.04030,5
19,Bot0,DEFEAT,0.13360,13
20,Bot0,DEFEAT,0.07450,6
21,Bot0,DEFEAT,0.04960,3
22,Bot0,DEFEAT,0.03960,3
23,Bot0,DEFEAT,0.04760,7
24,Bot0,DEFEAT,0.04200,3
25,Bot0,DEFEAT,0.04000,2
26,Bot0,DEFEAT,0.04160,4
27,Bot0,DEFEAT,0.04090,4
28,Bot0,DEFEAT,0.03950,6
29,Bot0,DEFEAT,0.00390,1
30,Bot0,DEFEAT,0.02080,8
31,Bot0,DEFEAT,0.01700,4
32,Bot0,DEFEAT,0.01630,3
33,Bot0,DEFEAT,0.00390,1
34,Bot0,DEFEAT,0.05960,6
35,Bot0,DEFEAT,0.02000,6
36,Bot0,DEFEAT,0.03440,2
37,Bot0,DEFEAT,0.03720,5
38,Bot0,DEFEAT,0.02170,4
39,Bot0,DEFEAT,0.01560,4
40,Bot0,DEFEAT,0.00960,2
41,Bot0,DEFEAT,0.01330,2
42,Bot0,DEFEAT,0.01420,3
43,Bot0,DEFEAT,0.01220,3
44,Bot0,DEFEAT,0.00400,1
45,Bot0,DEFEAT,0.00370,1
46,Bot0,DEFEAT,0.02560,9
47,Bot0,DEFEAT,0.01570,4
48,Bot0,DEFEAT,0.00380,1
49,Bot0,DEFEAT,0.01450,4
50,Bot0,DEFEAT,0.01850,4
51,Bot0,DEFEAT,0.01460,3
52,Bot0,DEFEAT,0.01230,3
53,Bot0,DEFEAT,0.01920,3
