MatchId,BotType,Result,TimeMs,TotalClicks
0,0,DEFEAT,3.5231,2
1,0,DEFEAT,0.1424,2
2,0,DEFEAT,0.3941,3
3,0,DEFEAT,0.7652,9
4,0,DEFEAT,0.4478,5
5,0,DEFEAT,0.7033,2
6,0,DEFEAT,1.1910,7
7,0,DEFEAT,0.5502,6
8,0,DEFEAT,0.3407,4
9,0,DEFEAT,0.1415,4
10,0,DEFEAT,0.1039,2
11,0,DEFEAT,0.4694,8
12,0,DEFEAT,0.0732,2
13,0,DEFEAT,0.7916,10
14,0,DEFEAT,0.2551,3
15,0,DEFEAT,0.2295,2
16,0,DEFEAT,0.0929,2
17,0,DEFEAT,0.3480,2
18,0,DEFEAT,0.3051,4
19,0,DEFEAT,0.2577,5
20,0,DEFEAT,0.1906,3
21,0,DEFEAT,0.1686,3
22,0,DEFEAT,0.2559,4
23,0,DEFEAT,0.0781,3
24,0,DEFEAT,1.1856,7
25,0,DEFEAT,0.5187,3
26,0,DEFEAT,0.2957,1
27,0,DEFEAT,0.1734,4
28,0,DEFEAT,1.2216,3
29,0,DEFEAT,0.6220,6
30,0,DEFEAT,0.2727,4
31,0,DEFEAT,0.4224,7
32,0,DEFEAT,0.1643,3
33,0,DEFEAT,0.2025,2
34,0,DEFEAT,0.2647,3
35,0,DEFEAT,0.1539,4
36,0,DEFEAT,0.1643,2
37,0,DEFEAT,0.4034,5
38,0,DEFEAT,0.1566,3
39,0,DEFEAT,1.8376,15
40,0,DEFEAT,0.4279,5
41,0,DEFEAT,0.7177,5
42,0,DEFEAT,0.1421,11
43,0,DEFEAT,0.3466,6
44,0,DEFEAT,0.0816,2
45,0,DEFEAT,0.1032,4
46,0,DEFEAT,0.0609,3
47,0,DEFEAT,0.8688,3
48,0,DEFEAT,0.1240,4
49,0,DEFEAT,0.0645,3
50,0,DEFEAT,0.0861,2
51,0,DEFEAT,0.2856,2
52,0,DEFEAT,0.1399,2
53,0,DEFEAT,0.4386,2
54,0,DEFEAT,0.3863,6
55,0,DEFEAT,0.3051,3
56,0,DEFEAT,0.1326,5
57,0,DEFEAT,0.1533,6
58,0,DEFEAT,0.0834,6
59,0,DEFEAT,0.1632,5
60,0,DEFEAT,0.8568,7
61,0,DEFEAT,0.2891,3
62,0,DEFEAT,0.3817,5
63,0,DEFEAT,0.1190,2
64,0,DEFEAT,0.2244,4
65,0,DEFEAT,0.2677,3
66,0,DEFEAT,0.3698,5
67,0,DEFEAT,0.1505,8
68,0,DEFEAT,0.0398,3
69,0,DEFEAT,0.2180,4
70,0,DEFEAT,0.1810,2
71,0,DEFEAT,0.0625,4
72,0,DEFEAT,0.0493,3
73,0,DEFEAT,1.5363,8
74,0,DEFEAT,0.1732,10
75,0,DEFEAT,0.0920,8
76,0,DEFEAT,0.0190,1
77,0,DEFEAT,0.0861,10
78,0,DEFEAT,0.0862,4
79,0,DEFEAT,0.3528,4
80,0,DEFEAT,0.2619,3
81,0,DEFEAT,1.2895,1
82,0,DEFEAT,1.1783,4
83,0,DEFEAT,0.2650,4
84,0,DEFEAT,1.2385,5
85,0,DEFEAT,0.3341,3
86,0,DEFEAT,0.5964,6
87,0,DEFEAT,0.0659,1
88,0,DEFEAT,0.1531,3
89,0,DEFEAT,0.5192,5
90,0,DEFEAT,0.0663,2
91,0,DEFEAT,0.0151,1
92,0,DEFEAT,0.0503,6
93,0,DEFEAT,0.1355,4
94,0,DEFEAT,0.1552,3
95,0,DEFEAT,0.1022,7
96,0,DEFEAT,0.3749,4
97,0,DEFEAT,0.2470,2
98,0,DEFEAT,0.2211,3
99,0,DEFEAT,0.1581,3
100,0,DEFEAT,1.1776,8
101,0,DEFEAT,0.0657,6
102,0,DEFEAT,0.5352,7
103,0,DEFEAT,0.0823,1
104,0,DEFEAT,0.1486,13
105,0,DEFEAT,0.0316,4
106,0,DEFEAT,0.0353,5
107,0,DEFEAT,0.0103,1
108,0,DEFEAT,0.0462,2
109,0,DEFEAT,0.2053,4
110,0,DEFEAT,0.0261,2
111,0,DEFEAT,0.0226,2
112,0,DEFEAT,0.2723,5
113,0,DEFEAT,0.2315,4
114,0,DEFEAT,0.0828,2
115,0,DEFEAT,0.0613,1
116,0,DEFEAT,0.0504,3
117,0,DEFEAT,0.0218,2
118,0,DEFEAT,0.0313,3
119,0,DEFEAT,0.1553,9
120,0,DEFEAT,0.0116,1
121,0,DEFEAT,0.0461,7
122,0,DEFEAT,0.3996,4
123,0,DEFEAT,0.2342,5
124,0,DEFEAT,0.1355,3
125,0,DEFEAT,0.0634,1
126,0,DEFEAT,0.1084,3
127,0,DEFEAT,0.0668,2
128,0,DEFEAT,0.1406,1
129,0,DEFEAT,0.1384,4
130,0,DEFEAT,0.0550,1
131,0,DEFEAT,0.0400,6
132,0,DEFEAT,0.0882,5
133,0,DEFEAT,0.0235,2
134,0,DEFEAT,0.1202,3
135,0,DEFEAT,0.1645,3
136,0,DEFEAT,0.2837,7
137,0,DEFEAT,0.2378,3
138,0,DEFEAT,0.6017,5
139,0,DEFEAT,0.0832,5
140,0,DEFEAT,0.0318,3
141,0,DEFEAT,0.0275,3
142,0,DEFEAT,0.0526,4
143,0,DEFEAT,0.0149,1
144,0,DEFEAT,0.0358,5
145,0,DEFEAT,0.0813,2
146,0,DEFEAT,0.2668,9
147,0,DEFEAT,0.0864,2
148,0,DEFEAT,0.1388,4
149,0,DEFEAT,0.3182,11
150,0,DEFEAT,0.1866,6
151,0,DEFEAT,0.0879,1
152,0,DEFEAT,0.1761,5
153,0,DEFEAT,0.0866,2
154,0,DEFEAT,0.1073,3
155,0,DEFEAT,0.2234,7
156,0,DEFEAT,0.1766,5
157,0,DEFEAT,0.4077,1
158,0,DEFEAT,0.4474,6
159,0,DEFEAT,0.1927,2
160,0,DEFEAT,2.6336,1
161,0,DEFEAT,0.3095,5
162,0,DEFEAT,0.0908,4
163,0,DEFEAT,0.0347,5
164,0,DEFEAT,0.0293,4
165,0,DEFEAT,0.0247,3
166,0,DEFEAT,0.0708,2
167,0,DEFEAT,0.0855,8
168,0,DEFEAT,0.0734,2
169,0,DEFEAT,0.0299,2
170,0,DEFEAT,0.1517,3
171,0,DEFEAT,0.0816,2
