MatchId,BotType,Result,TimeMs,TotalClicks
0,Bot0,DEFEAT,2.97140,5
1,Bot0,DEFEAT,0.07820,5
2,Bot0,DEFEAT,0.06810,3
3,Bot0,DEFEAT,0.09630,8
4,Bot0,DEFEAT,0.07080,4
5,Bot0,DEFEAT,0.00970,1
6,Bot0,DEFEAT,0.01590,1
7,Bot0,DEFEAT,0.06640,5
8,Bot0,DEFEAT,0.05930,3
9,Bot0,DEFEAT,0.07510,4
10,Bot0,DEFEAT,0.07410,5
11,Bot0,DEFEAT,0.07150,5
12,Bot0,DEFEAT,0.05240,2
13,Bot0,DEFEAT,0.06960,5
14,Bot0,DEFEAT,0.07230,6
15,Bot0,DEFEAT,0.06060,3
16,Bot0,DEFEAT,0.07160,5
17,Bot0,DEFEAT,0.07670,5
18,Bot0,DEFEAT,0.05720,4
19,Bot0,DEFEAT,0.03010,4
20,Bot0,DEFEAT,0.01070,1
21,Bot0,DEFEAT,0.07240,5
22,Bot0,DEFEAT,0.05180,3
23,Bot0,DEFEAT,0.02030,2
24,Bot0,DEFEAT,0.01760,2
25,Bot0,DEFEAT,0.01640,2
26,Bot0,DEFEAT,0.01280,1
27,Bot0,DEFEAT,0.07470,6
28,Bot0,DEFEAT,0.04720,2
29,Bot0,DEFEAT,0.06760,5
30,Bot0,DEFEAT,0.03540,2
31,Bot0,DEFEAT,0.01060,3
32,Bot0,DEFEAT,0.00730,1
33,Bot0,DEFEAT,0.00890,2
34,Bot0,DEFEAT,0.04630,8
35,Bot0,DEFEAT,0.03410,2
36,Bot0,DEFEAT,0.02670,4
37,Bot0,DEFEAT,0.01740,5
38,Bot0,DEFEAT,0.01230,2
39,Bot0,DEFEAT,0.01630,5
40,Bot0,DEFEAT,0.01410,3
41,Bot0,DEFEAT,0.00420,1
42,Bot0,DEFEAT,0.01590,3
43,Bot0,DEFEAT,0.01800,6
44,Bot0,DEFEAT,0.01400,2
45,Bot0,DEFEAT,0.04780,5
46,Bot0,DEFEAT,0.03080,4
47,Bot0,DEFEAT,0.01880,5
48,Bot0,DEFEAT,0.00570,1
49,Bot0,DEFEAT,0.00950,2
50,Bot0,DEFEAT,0.01520,3
51,Bot0,DEFEAT,0.01480,4
52,Bot0,DEFEAT,0.01470,4
53,Bot0,DEFEAT,0.01960,6
54,Bot0,DEFEAT,0.01640,3
55,Bot0,DEFEAT,0.05130,4
56,Bot0,DEFEAT,0.01470,5
57,Bot0,DEFEAT,0.03260,3
58,Bot0,DEFEAT,0.01880,2
59,Bot0,DEFEAT,0.00510,1
60,Bot0,DEFEAT,0.01210,2
61,Bot0,DEFEAT,0.01650,5
62,Bot0,DEFEAT,0.01230,3
63,Bot0,DEFEAT,0.02270,10
64,Bot0,DEFEAT,0.01450,2
65,Bot0,DEFEAT,0.01510,4
66,Bot0,DEFEAT,0.01250,2
67,Bot0,DEFEAT,0.03650,7
68,Bot0,DEFEAT,0.02680,8
69,Bot0,DEFEAT,0.00550,2
70,Bot0,DEFEAT,0.01200,2
71,Bot0,DEFEAT,0.01830,5
72,Bot0,DEFEAT,0.01610,2
73,Bot0,DEFEAT,0.02020,7
74,Bot0,DEFEAT,0.02600,2
75,Bot0,DEFEAT,0.02210,7
76,Bot0,DEFEAT,0.02160,10
77,Bot0,DEFEAT,0.01210,7
78,Bot0,DEFEAT,0.01370,4
79,Bot0,DEFEAT,0.00400,2
80,Bot0,DEFEAT,0.01220,2
81,Bot0,DEFEAT,0.01320,5
82,Bot0,DEFEAT,0.01370,7
83,Bot0,DEFEAT,0.01070,3
84,Bot0,DEFEAT,0.01200,3
85,Bot0,DEFEAT,0.01150,3
86,Bot0,DEFEAT,0.00920,3
87,Bot0,DEFEAT,0.01880,9
88,Bot0,DEFEAT,0.01330,5
89,Bot0,DEFEAT,0.01070,2
90,Bot0,DEFEAT,0.01620,11
91,Bot0,DEFEAT,0.01250,4
92,Bot0,VICTORY,0.01150,4
93,Bot0,DEFEAT,0.00920,2
94,Bot0,DEFEAT,0.00920,2
95,Bot0,DEFEAT,0.00230,1
96,Bot0,DEFEAT,0.01270,5
97,Bot0,DEFEAT,0.01330,6
98,Bot0,DEFEAT,0.01340,2
99,Bot0,DEFEAT,0.08390,2
100,Bot0,DEFEAT,0.01590,5
101,Bot0,DEFEAT,0.01200,3
102,Bot0,DEFEAT,0.01260,4
103,Bot0,DEFEAT,0.09890,4
104,Bot0,DEFEAT,0.01300,3
105,Bot0,DEFEAT,0.01500,3
106,Bot0,DEFEAT,0.03300,9
107,Bot0,DEFEAT,0.01610,5
108,Bot0,DEFEAT,0.00220,1
109,Bot0,DEFEAT,0.01070,2
110,Bot0,DEFEAT,0.00770,2
111,Bot0,DEFEAT,0.01830,9
112,Bot0,DEFEAT,0.00380,1
113,Bot0,DEFEAT,0.01110,2
114,Bot0,DEFEAT,0.01080,7
115,Bot0,DEFEAT,0.01110,6
116,Bot0,DEFEAT,0.00510,3
117,Bot0,DEFEAT,0.01040,2
118,Bot0,DEFEAT,0.01830,4
119,Bot0,DEFEAT,0.02760,4
120,Bot0,DEFEAT,0.01170,5
121,Bot0,DEFEAT,0.01180,3
122,Bot0,DEFEAT,0.00320,1
123,Bot0,DEFEAT,0.01490,5
124,Bot0,DEFEAT,0.01230,5
125,Bot0,DEFEAT,0.01400,4
126,Bot0,DEFEAT,0.01190,5
127,Bot0,DEFEAT,0.01470,3
128,Bot0,DEFEAT,0.01770,4
129,Bot0,DEFEAT,0.00310,2
130,Bot0,DEFEAT,0.01290,4
131,Bot0,DEFEAT,0.00980,2
132,Bot0,DEFEAT,0.00920,3
133,Bot0,DEFEAT,0.02170,2
134,Bot0,DEFEAT,0.01090,4
135,Bot0,DEFEAT,0.02040,4
136,Bot0,DEFEAT,0.01060,4
137,Bot0,DEFEAT,0.01270,3
138,Bot0,DEFEAT,0.00540,5
139,Bot0,DEFEAT,0.00920,3
140,Bot0,DEFEAT,0.00970,3
141,Bot0,DEFEAT,0.01130,4
142,Bot0,DEFEAT,0.01000,3
143,Bot0,DEFEAT,0.01120,4
144,Bot0,DEFEAT,0.01230,4
145,Bot0,DEFEAT,0.01990,13
146,Bot0,DEFEAT,0.00830,2
147,Bot0,DEFEAT,0.01620,8
148,Bot0,DEFEAT,0.01070,5
149,Bot0,DEFEAT,0.01240,4
150,Bot0,VICTORY,0.01680,8
151,Bot0,DEFEAT,0.01070,5
152,Bot0,DEFEAT,0.01420,7
153,Bot0,DEFEAT,0.00890,3
154,Bot0,DEFEAT,0.02080,4
155,Bot0,DEFEAT,0.00170,1
156,Bot0,DEFEAT,0.00980,4
157,Bot0,DEFEAT,0.01370,8
158,Bot0,DEFEAT,0.02520,9
159,Bot0,DEFEAT,0.00840,5
160,Bot0,DEFEAT,0.01330,6
161,Bot0,DEFEAT,0.00850,2
162,Bot0,DEFEAT,0.01380,8
163,Bot0,DEFEAT,0.00190,1
164,Bot0,DEFEAT,0.01230,3
165,Bot0,DEFEAT,0.00940,4
166,Bot0,DEFEAT,0.01480,7
167,Bot0,DEFEAT,0.01070,5
168,Bot0,DEFEAT,0.01500,7
169,Bot0,DEFEAT,0.01270,4
170,Bot0,DEFEAT,0.01340,6
171,Bot0,DEFEAT,0.00160,1
172,Bot0,DEFEAT,0.01800,4
173,Bot0,DEFEAT,0.02090,10
174,Bot0,DEFEAT,0.02230,12
175,Bot0,DEFEAT,0.00860,2
176,Bot0,DEFEAT,0.01880,10
177,Bot0,DEFEAT,0.00220,1
178,Bot0,DEFEAT,0.00990,2
179,Bot0,DEFEAT,0.01090,3
180,Bot0,DEFEAT,0.00900,2
181,Bot0,DEFEAT,0.01240,5
182,Bot0,DEFEAT,0.00650,3
183,Bot0,DEFEAT,0.01000,3
184,Bot0,DEFEAT,0.01440,6
185,Bot0,DEFEAT,0.02130,8
186,Bot0,DEFEAT,0.00990,2
187,Bot0,DEFEAT,0.00690,2
188,Bot0,DEFEAT,0.01300,5
189,Bot0,DEFEAT,0.01410,6
190,Bot0,DEFEAT,0.01260,5
191,Bot0,DEFEAT,0.01450,5
192,Bot0,DEFEAT,0.00960,3
193,Bot0,DEFEAT,0.02640,4
194,Bot0,DEFEAT,0.00240,1
195,Bot0,DEFEAT,0.00470,3
196,Bot0,DEFEAT,0.01560,10
197,Bot0,DEFEAT,0.01390,5
198,Bot0,DEFEAT,0.01880,12
199,Bot0,DEFEAT,0.01200,4
200,Bot0,DEFEAT,0.00750,3
201,Bot0,DEFEAT,0.00520,4
202,Bot0,DEFEAT,0.01190,5
203,Bot0,DEFEAT,0.00220,1
204,Bot0,DEFEAT,0.01100,3
205,Bot0,DEFEAT,0.00560,2
206,Bot0,DEFEAT,0.00210,1
207,Bot0,DEFEAT,0.00960,3
208,Bot0,DEFEAT,0.00820,3
209,Bot0,DEFEAT,0.01100,4
210,Bot0,DEFEAT,0.01050,4
211,Bot0,DEFEAT,0.02800,6
212,Bot0,DEFEAT,0.00500,1
213,Bot0,DEFEAT,0.01570,7
214,Bot0,DEFEAT,0.01080,4
215,Bot0,DEFEAT,0.01450,4
216,Bot0,DEFEAT,0.01400,7
217,Bot0,DEFEAT,0.01390,5
218,Bot0,DEFEAT,0.00170,1
219,Bot0,DEFEAT,0.00260,1
220,Bot0,DEFEAT,0.01130,4
221,Bot0,DEFEAT,0.01400,8
222,Bot0,DEFEAT,0.01240,3
223,Bot0,DEFEAT,0.01200,3
224,Bot0,DEFEAT,0.00940,2
225,Bot0,DEFEAT,0.00480,4
226,Bot0,DEFEAT,0.02540,5
227,Bot0,DEFEAT,0.00930,2
228,Bot0,DEFEAT,0.01060,5
229,Bot0,DEFEAT,0.01470,5
230,Bot0,DEFEAT,0.01020,3
231,Bot0,DEFEAT,0.00780,2
232,Bot0,DEFEAT,0.01410,5
233,Bot0,DEFEAT,0.00590,4
234,Bot0,DEFEAT,0.01580,8
235,Bot0,DEFEAT,0.00940,3
236,Bot0,DEFEAT,0.01140,4
237,Bot0,DEFEAT,0.01270,4
238,Bot0,DEFEAT,0.00230,1
239,Bot0,DEFEAT,0.01110,5
240,Bot0,DEFEAT,0.01290,5
241,Bot0,DEFEAT,0.01390,7
242,Bot0,DEFEAT,0.01050,4
243,Bot0,DEFEAT,0.01160,4
244,Bot0,DEFEAT,0.01360,4
245,Bot0,DEFEAT,0.00400,1
246,Bot0,DEFEAT,0.01530,5
247,Bot0,DEFEAT,0.01210,6
248,Bot0,DEFEAT,0.07760,7
249,Bot0,DEFEAT,0.01290,2
250,Bot0,DEFEAT,0.01460,6
251,Bot0,DEFEAT,0.00250,1
252,Bot0,DEFEAT,0.01870,9
253,Bot0,DEFEAT,0.01050,4
254,Bot0,DEFEAT,0.00180,1
255,Bot0,DEFEAT,0.01500,6
256,Bot0,DEFEAT,0.01340,5
257,Bot0,DEFEAT,0.03480,12
258,Bot0,DEFEAT,0.02880,10
259,Bot0,DEFEAT,0.01000,3
260,Bot0,DEFEAT,0.01950,3
261,Bot0,DEFEAT,0.02130,11
262,Bot0,DEFEAT,0.01160,3
263,Bot0,DEFEAT,0.01370,3
264,Bot0,DEFEAT,0.00430,3
265,Bot0,DEFEAT,0.01000,3
266,Bot0,DEFEAT,0.00880,2
267,Bot0,DEFEAT,0.00370,3
268,Bot0,DEFEAT,0.04440,5
269,Bot0,DEFEAT,0.00280,1
270,Bot0,DEFEAT,0.01040,3
271,Bot0,DEFEAT,0.00190,1
272,Bot0,DEFEAT,0.01820,2
273,Bot0,DEFEAT,0.00930,2
274,Bot0,DEFEAT,0.01130,4
275,Bot0,DEFEAT,0.01250,4
276,Bot0,DEFEAT,0.00240,1
277,Bot0,DEFEAT,0.00310,2
278,Bot0,DEFEAT,0.01180,6
279,Bot0,DEFEAT,0.00940,5
280,Bot0,DEFEAT,0.01050,2
281,Bot0,DEFEAT,0.01330,5
282,Bot0,DEFEAT,0.00200,1
283,Bot0,DEFEAT,0.00390,2
284,Bot0,DEFEAT,0.01110,2
285,Bot0,DEFEAT,0.01010,3
286,Bot0,DEFEAT,0.03920,4
287,Bot0,DEFEAT,0.00520,4
288,Bot0,DEFEAT,0.00930,4
289,Bot0,DEFEAT,0.01200,4
290,Bot0,DEFEAT,0.01020,3
291,Bot0,DEFEAT,0.01350,5
292,Bot0,DEFEAT,0.01310,2
293,Bot0,DEFEAT,0.01660,5
294,Bot0,DEFEAT,0.00980,4
295,Bot0,DEFEAT,0.01210,7
296,Bot0,DEFEAT,0.00910,3
297,Bot0,DEFEAT,0.04620,7
298,Bot0,DEFEAT,0.00730,5
299,Bot0,DEFEAT,0.01100,9
300,Bot0,DEFEAT,0.00860,4
301,Bot0,DEFEAT,0.01020,6
302,Bot0,DEFEAT,0.00990,3
303,Bot0,DEFEAT,0.00860,4
304,Bot0,DEFEAT,0.01030,4
305,Bot0,DEFEAT,0.00090,1
306,Bot0,DEFEAT,0.00110,1
307,Bot0,DEFEAT,0.01000,4
308,Bot0,DEFEAT,0.01030,6
309,Bot0,DEFEAT,0.00720,2
310,Bot0,DEFEAT,0.01470,2
311,Bot0,DEFEAT,0.00670,3
312,Bot0,DEFEAT,0.01080,8
313,Bot0,DEFEAT,0.01120,6
314,Bot0,DEFEAT,0.00720,2
315,Bot0,DEFEAT,0.00790,2
316,Bot0,DEFEAT,0.00140,1
317,Bot0,DEFEAT,0.00980,9
318,Bot0,DEFEAT,0.00940,2
319,Bot0,DEFEAT,0.00380,2
320,Bot0,DEFEAT,0.01100,10
321,Bot0,DEFEAT,0.00690,3
322,Bot0,DEFEAT,0.00950,4
323,Bot0,DEFEAT,0.00140,1
324,Bot0,DEFEAT,0.00840,7
325,Bot0,DEFEAT,0.00650,2
326,Bot0,DEFEAT,0.00140,1
